sensor_image,object_label,pose_x,pose_y,pose_z,pose_Rx,pose_Ry,pose_Rz,shear_x,shear_y,shear_z,shear_Rx,shear_Ry,shear_Rz,Fx,Fy,Fz,Tx,Ty,Tz
image_0.png,surface,0,0,2.176267907,-7.265207088,-5.626256301,0,-0.82678097,0.201923644,0,0,0,-8.088093546,-4.989330057,0.136688794,14.48173564,0,0,0
image_1.png,surface,0,0,2.230235709,4.458585929,5.878200912,0,-1.96340712,-0.942181451,0,0,0,4.50803646,-12.91452929,-6.028960998,15.32077048,0,0,0
image_2.png,surface,0,0,0.196299453,4.261441459,8.756545364,0,1.449834658,1.435896691,0,0,0,-1.136567405,0.18145863,0.194394109,0.366892731,0,0,0
image_3.png,surface,0,0,0.668466538,-14.26235306,-8.496149428,0,-1.752689529,-1.294772984,0,0,0,-2.776343277,-4.228130337,-3.320663292,2.929469017,0,0,0
image_4.png,surface,0,0,1.948199452,-4.930696958,13.62008298,0,-0.503531945,-1.508455998,0,0,0,-8.860550786,-4.809674051,-7.355380048,16.79463685,0,0,0
image_5.png,surface,0,0,1.573920776,5.166279595,-14.16642518,0,0.350449302,-1.316556927,0,0,0,0.608824529,1.464436212,-5.145077718,5.793257078,0,0,0
image_6.png,surface,0,0,2.036860559,0.258078805,-1.402722511,0,-1.398713806,1.545483588,0,0,0,3.063799307,-6.906298062,8.27648062,10.73038749,0,0,0
image_7.png,surface,0,0,3.131495239,-10.98304561,1.327282578,0,1.861752635,-0.26805796,0,0,0,9.011373229,12.45244396,-5.259507561,33.0371359,0,0,0
image_8.png,surface,0,0,0.348299884,5.214500856,-10.09545986,0,-1.079824277,0.468549508,0,0,0,-9.003109127,-0.191360887,0.076238104,0.179950053,0,0,0
image_9.png,surface,0,0,3.983483017,-12.77872145,0.46223197,0,-1.013675481,1.832677825,0,0,0,-1.066205925,-10.52946876,16.02478158,53.12242942,0,0,0
image_10.png,surface,0,0,2.863708549,4.156207828,14.01534777,0,-0.752694815,0.059787748,0,0,0,-2.763291379,-9.135589075,3.138403477,30.47245456,0,0,0
image_11.png,surface,0,0,2.412593583,2.795353058,-12.12675828,0,1.533585045,-1.314806641,0,0,0,4.975462052,9.874822592,-8.058419919,16.84696078,0,0,0
image_12.png,surface,0,0,0.259865115,4.850625174,-9.807033757,0,1.509630947,1.176076345,0,0,0,5.521621797,0.074876713,0.160678832,-0.059504318,0,0,0
image_13.png,surface,0,0,1.066087628,-14.08816002,10.3475217,0,0.035630346,-0.564675091,0,0,0,-7.129642977,-1.386361796,-2.429062109,7.416476964,0,0,0
image_14.png,surface,0,0,2.853154386,3.76286014,10.56456823,0,-1.756681894,-1.605931233,0,0,0,0.072576464,-16.47060652,-12.61689687,27.52791946,0,0,0
image_15.png,surface,0,0,2.485666939,-3.972177338,-1.775104918,0,-1.304659551,0.76386588,0,0,0,-2.718329686,-8.880322858,5.349830413,16.5785313,0,0,0
image_16.png,surface,0,0,1.563541239,14.86166576,-3.557491443,0,-1.290372229,-1.466006137,0,0,0,3.821222121,-5.47030917,-5.555593931,5.879061651,0,0,0
image_17.png,surface,0,0,1.35997864,-2.180469348,6.308631221,0,-0.660573859,0.239260437,0,0,0,-3.872712572,-3.227037343,2.069174384,6.966010796,0,0,0
image_18.png,surface,0,0,2.636380096,-5.911623446,4.465604517,0,0.9421125,1.969090192,0,0,0,7.052889237,5.680589446,11.34420306,22.09617368,0,0,0
image_19.png,surface,0,0,2.954925228,-6.030891393,-10.30458111,0,0.345195804,-1.905007149,0,0,0,1.427204107,5.251768775,-17.17212617,28.24883851,0,0,0
